Cve. Materia,Materia,Clave de Grupo,Tipo Grupo,Modalidad,Docente,Campus,Salón,Horario
DIS-1419-00,INTRODUCCION A LA MERCADOTECNIA,E-L1,Laboratorio,Presencial,... ... ...,CU,107-B-115,"Martes 9:00-10:00, Jueves 8:00-10:00"
DIS-1420-00,TALLER DE RETORICA Y SEMIOTICA DE LA IMAGEN,C,Teoria,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-116,Martes 10:00-12:00
DIS-1420-00,TALLER DE RETORICA Y SEMIOTICA DE LA IMAGEN,C-L1,Laboratorio,Presencial,CORDOVA ORTEGA DANIELA GUADALUPE,CU,107-B-116,Jueves 10:00-12:00
DIS-1422-00,DISEÑO EDITORIAL,C,Teoria,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-D4-215,Martes 14:00-16:00
DIS-1422-00,DISEÑO EDITORIAL,C-L1,Laboratorio,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-D4-215,"Jueves 14:00-16:00, Viernes 14:00-16:00"
DIS-1423-00,COMPUTACION GRAFICA,C,Teoria,Presencial,ALBELDAÑO RUIZ HECTOR MANUEL,CU,107-D4-215,Viernes 8:00-9:00
DIS-1423-00,COMPUTACION GRAFICA,C-L1,Laboratorio,Presencial,ALBELDAÑO RUIZ HECTOR MANUEL,CU,107-D4-215,Viernes 9:00-12:00
DIS-1424-00,ANIMACION I,C,Teoria,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-c,Lunes 8:00-9:00
DIS-1424-00,ANIMACION I,C-L1,Laboratorio,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-c,"Lunes 9:00-10:00, Miércoles 8:00-10:00"
DIS-1426-00,TALLER DE PRODUCCION I,C,Teoria,Presencial,SAENZ GUTIERREZ KARLA,CU,107-D1-112,Martes 14:00-15:00
DIS-1426-00,TALLER DE PRODUCCION I,C-L1,Laboratorio,Presencial,SAENZ GUTIERREZ KARLA,CU,107-D1-112,"Martes 15:00-16:00, Jueves 14:00-16:00"
DIS-1427-00,TALLER DE PRODUCCION II,D,Teoria,Presencial,ZORRILLA BRIONES MANUEL,CU,107-D1-112,Lunes 8:00-9:00
DIS-1427-00,TALLER DE PRODUCCION II,D-L1,Laboratorio,Presencial,ZORRILLA BRIONES MANUEL,CU,107-D1-112,"Lunes 9:00-10:00, Miércoles 8:00-10:00"
DIS-1428-00,FOTOGRAFIA II,C,Teoria,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,Martes 12:00-13:00
DIS-1428-00,FOTOGRAFIA II,C-L1,Laboratorio,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,"Martes 13:00-14:00, Jueves 12:00-14:00"
DIS-1428-00,FOTOGRAFIA II,D,Teoria,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,Lunes 12:00-13:00
DIS-1428-00,FOTOGRAFIA II,D-L1,Laboratorio,Presencial,SANCHEZ RODRIGUEZ ALEJANDRO,CU,107-D1-111,"Lunes 13:00-14:00, Miércoles 12:00-14:00"
DIS-1429-00,VIDEO DIGITAL,C,Teoria,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-D4-208,Martes 10:00-11:00
DIS-1429-00,VIDEO DIGITAL,C-L1,Laboratorio,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-D4-208,"Martes 11:00-12:00, Jueves 10:00-12:00, Viernes 10:00-12:00"
DIS-1431-00,DISEÑO MULTIMEDIA,D,Teoria,En Línea,SARMIENTO SALAZAR JESUS ANDRES,CU,Internet,
DIS-1431-00,DISEÑO MULTIMEDIA,D-L1,Laboratorio,En Línea,SARMIENTO SALAZAR JESUS ANDRES,CU,Internet,
DIS-1433-00,ANIMACION II,C,Teoria,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-C-209,Viernes 12:00-13:00
DIS-1433-00,ANIMACION II,C-L1,Laboratorio,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-C-209,Viernes 13:00-16:00
DIS-1438-00,PROCESOS Y COSTOS EN EL DISEÑO,E,Teoria,Presencial,SAENZ GUTIERREZ KARLA,CU,107-B-101-e,Martes 8:00-10:00
DIS-1438-00,PROCESOS Y COSTOS EN EL DISEÑO,E-L1,Laboratorio,Presencial,SAENZ GUTIERREZ KARLA,CU,107-B-101-e,Jueves 8:00-10:00
DIS-2005-00,INTRODUCCION A LA TEORIA DEL DISEÑO,D,Teoria,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-f,Martes 10:00-12:00
DIS-2005-00,INTRODUCCION A LA TEORIA DEL DISEÑO,D-L1,Laboratorio,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-f,Jueves 10:00-12:00
DIS-2005-00,INTRODUCCION A LA TEORIA DEL DISEÑO,E,Teoria,Presencial,... ... ...,CU,107-B-101-b,Lunes 14:00-16:00
DIS-2005-00,INTRODUCCION A LA TEORIA DEL DISEÑO,E-L1,Laboratorio,Presencial,... ... ...,CU,107-B-101-b,Miércoles 14:00-16:00
DIS-2007-00,ANALISIS DE LA CULTURA Y EL ARTE,C,Teoria,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-b,Lunes 10:00-12:00
DIS-2007-00,ANALISIS DE LA CULTURA Y EL ARTE,C-L1,Laboratorio,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-b,"Miércoles 10:00-12:00, Viernes 10:00-12:00"
DIS-2007-00,ANALISIS DE LA CULTURA Y EL ARTE,D,Teoria,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-f,Lunes 12:00-14:00
DIS-2007-00,ANALISIS DE LA CULTURA Y EL ARTE,D-L1,Laboratorio,Presencial,MARTINEZ MOCTEZUMA ANGELICA,CU,107-B-101-f,"Miércoles 12:00-14:00, Viernes 12:00-14:00"
DIS-2008-00,FUNDAMENTOS DEL DIBUJO,F,Teoria,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-b,Martes 12:00-13:00
DIS-2008-00,FUNDAMENTOS DEL DIBUJO,F-L1,Laboratorio,Presencial,GARZA ROJO GABRIEL RAFAEL,CU,107-B-101-b,"Martes 13:00-14:00, Jueves 12:00-14:00"
DIS-2008-00,FUNDAMENTOS DEL DIBUJO,G,Teoria,Presencial,... ... ...,CU,107-B-101-e,Martes 12:00-13:00
DIS-2008-00,FUNDAMENTOS DEL DIBUJO,G-L1,Laboratorio,Presencial,... ... ...,CU,107-B-101-e,"Martes 13:00-14:00, Jueves 12:00-14:00"
DIS-2009-00,TEORIAS DE LA COMUNICACION,C,Teoria,Presencial,OJEDA ARREDONDO ARMANDO,CU,107-B-101-e,Lunes 12:00-14:00
DIS-2009-00,TEORIAS DE LA COMUNICACION,C-L1,Laboratorio,Presencial,OJEDA ARREDONDO ARMANDO,CU,107-B-101-e,Miércoles 12:00-14:00
DIS-2320-00,INTRODUCCION A LA IMAGEN,C,Teoria,Presencial,AVILA RUIZ JESUS MIGUEL,CU,107-B-101-d,Martes 8:00-9:00
